icims_id,title,category,ext_app_url,poc,poc_email,poc_phone,location,neighborhood
14595,826 Boston-In School Summer Program Assistant,"Education, Tutoring or Teacher's Assistant",,Julie Jacobs,julie@826boston.org,617-442-5400,3035 Washington St,Roxbury
14596,826 Boston-Out of School Time Summer Program Assistant,"Education, Tutoring or Teacher's Assistant",,Julie Jacobs,julie@826boston.org,617-442-5400,3035 Washington St,Roxbury
14597,ACEDONE - Youth Worker,Peer Leadership,,Hawa Yassin,hawa.yassin@acedone.org,617-445-1200,89 South St. Suite 203,Downtown
14598,All Dorchester Sports & Leadership - ADSL Summer Program,Camp Counselor/ Summer Program Staff Support,,Xavier Savage,xsavage@alldorchestersports.org,617-851-0446,1565 Dorchester Avenue,Dorchester
14599,Allston/Brighton APAC-Teacher Assistant,Child Care/Day Care Facility,,Paula Torrone Maxwell,service@allstonbrightonapac.org,617-783-1485,406 Cambridge Street,Allston
14600,Allston/Brighton APAC-Group Assistant for School Age Summer Program,Camp Counselor/ Summer Program Staff Support,,Paula Torrone Maxwell,service@allstonbrightonapac.org,617-783-1485,406 Cambridge Street,Allston
14601,"America Scores New England, Inc.: Boston Scores Summer Learning Academy - Junior Counselor",Camp Counselor/ Summer Program Staff Support,,Ivelisse Mendoza,ivelisse@bostonscores.org,617-553-4705,312 Border Street,East Boston
14609,BCYF Blackstone Community Center - Summer Camp Jr. Counselor,Camp Counselor/ Summer Program Staff Support,,Marco Torres,marco.torres@boston.gov,617-635-5162,50 West Brookline Street,South End
14602,"America Scores New England, Inc.: Boston Scores Summer Learning Academy - Junior Counselor - Hyde Park",Camp Counselor/ Summer Program Staff Support,,Ivelisse Mendoza,ivelisse@bostonscores.org,617-553-4705,40 Gordon Avenue,Hyde Park
14603,Artists For Humanity: Youth Arts Enterprise - Youth Arts Apprentice,Visual or Performing Arts,http://surveygizmoresponseuploads.s3.amazonaws.com/fileuploads/201021/4147467/99-2c69ed5ad0e0688726c2d04bccc2a6d3_image.png,Gary Chen,gchen@afhboston.org,617-268-7620,100 West Second Street,South Boston
14604,Asian Community Development Corporation: A-VOYCE - Programs Support Intern,Community Organizing,,Jeena Hah,jeena.hah@asiancdc.org,617-486-2380 ext. 204,38 Oak Street,South Boston
14605,Asian Task Force Against Domestic Violence - Youth Empowerment Project - Youth Community Leader,Community Organizing,https://goo.gl/forms/WEwJMH2WXdX2Rr113,Apphia K,Apphia@atask.org,617-338-2350,218 Adams St,Dorchester
14606,Asian Task Force Against Domestic Violence - Youth Empowerment Project - Summer Camp Jr. Counselor,"Education, Tutoring or Teacher's Assistant",https://goo.gl/forms/WEwJMH2WXdX2Rr113,Apphia K,Apphia@atask.org,617-338-2350,218 Adams St,Dorchester
14607,BCYF Admin & Finance - General Office Clerk,Administrative or Office Assistant,,Therese Martinez,therese.martinez@boston.gov,617-635-4920,1483 Tremont Street,Mission Hill
14608,BCYF Admin & Finance - Counselor In Training,Camp Counselor/ Summer Program Staff Support,,Therese Martinez,therese.martinez@boston.gov,617-635-4920,1483 Tremont Street,Mission Hill
14610,BCYF Blackstone Community Center - Front Desk Assistant,Administrative or Office Assistant,,Marco Torres,marco.torres@boston.gov,617-635-5162,50 West Brookline Street,South End
14611,BCYF Blackstone Community Center - Lifeguard Intern,"Sports, Fitness and/or Recreation",,Antonio Rosario,antonio.rosario@boston.gov,617-635-4920 ext. 2150,50 West Brookline Street,South End
14612,BCYF Blackstone Community Center - Summer Fun Stops - Junior Supervisor,Camp Counselor/ Summer Program Staff Support,,Joan Lanigan,joan.lanigan@boston.gov,617-635-4920,50 West Brookline Street,South End
14613,BCYF Blackstone Community Center - Superteens Program - SuperTeens Program Helper,Peer Leadership,,Kate Hennigan,kate.hennigan@boston.gov,617-635-4920,50 West Brookline Street,South End
14614,BCYF City Hall Child Care -Youth Counselor,Child Care/Day Care Facility,,Yamiley Millor,yamiley.millor@boston.gov,617-635-3793,"1 City Hall Plaza, Room 401",Downtown
14615,BCYF City Hall Child Care - Office Assistant,Child Care/Day Care Facility,,Yamiley Millor,yamiley.millor@boston.gov,617-635-3793,"1 City Hall Plaza, Room 401",Downtown
14616,BCYF Clougherty Pool - Lifeguard Intern,"Sports, Fitness and/or Recreation",,Antonio Rosario,antonio.rosario@boston.gov,617-635-4920 ext. 2150,331 Bunker Hill St,Charlestown
14617,BCYF Condon Community Center - Junior STEM Counselor,Camp Counselor/ Summer Program Staff Support,,Barbara Kelly,barbara.kelly@boston.gov,617-635-5100,200 D Street,South Boston
14618,"BCYF Condon Community Center - ""Teeniors""/ Teens Interacting with Seniors",Camp Counselor/ Summer Program Staff Support,,Barbara Kelly,barbara.kelly@boston.gov,617-635-5100,200 D Street,South Boston
14619,BCYF Condon Community Center - MVP Sports Program Assistant,"Sports, Fitness and/or Recreation",,Barbara Kelly,barbara.kelly@boston.gov,617-635-5100,200 D Street,South Boston
14620,BCYF Condon Community Center - Lifeguard Intern,"Sports, Fitness and/or Recreation",,Antonio Rosario,antonio.rosario@boston.gov,617-635-4920 ext. 2150,200 D Street,South Boston
14621,BCYF Condon Community Center - Superteens Program - SuperTeens Program Helper,Peer Leadership,,Kate Hennigan,kate.hennigan@boston.gov,617-635-4920,200 D Street,South Boston
14622,BCYF Curley Community Center - Summer Counselor,Camp Counselor/ Summer Program Staff Support,,Shawn McDonagh,Shawn.McDonagh@boston.gov,617-635-5104,1663 Columbia Road,South Boston
14623,BCYF Curley Community Center - Summer Counselor Assistant Supervisor,Camp Counselor/ Summer Program Staff Support,,Shawn McDonagh,Shawn.McDonagh@boston.gov,617-635-5104,1663 Columbia Road,South Boston
14624,BCYF Curley Community Center - Lifeguard Intern,"Sports, Fitness and/or Recreation",,Antonio Rosario,antonio.rosario@boston.gov,617-635-4920 ext. 2150,1663 Columbia Road,South Boston
14625,BCYF Curtis Hall Community Center - Junior Counselor,Camp Counselor/ Summer Program Staff Support,,Noel Torres,noel.torres@boston.gov,617-635-5193,20 South St,Downtown
14626,BCYF Curtis Hall Community Center - Building Maintenance,Maintenance/Landscaping,,Noel Torres,noel.torres@boston.gov,617-635-5193,20 South St,Downtown
14627,BCYF Curtis Hall Community Center - Lifeguard Intern,"Sports, Fitness and/or Recreation",,Antonio Rosario,antonio.rosario@boston.gov,617-635-4920 ext. 2150,20 South St,Downtown
14628,BCYF Curtis Hall Community Center - Superteens Program - SuperTeens Program Helper,Peer Leadership,,Kate Hennigan,kate.hennigan@boston.gov,617-635-4920,20 South St,Downtown
14629,BCYF Draper Pool - Lifeguard Intern,"Sports, Fitness and/or Recreation",,Antonio Rosario,antonio.rosario@boston.gov,617-635-4920 ext. 2150,5275 Washington St,West Roxbury
14630,BCYF Flaherty Pool - Lifeguard Intern,"Sports, Fitness and/or Recreation",,Antonio Rosario,antonio.rosario@boston.gov,617-635-4920 ext. 2150,160 Florence St,Roslindale
14631,BCYF Gallivan Community Center - Junior Counselor,Camp Counselor/ Summer Program Staff Support,,Jose Rodriguez,jose.rodriguez@boston.gov,617-635-5253,61 Woodruff Way,Mattapan
14632,BCYF Gallivan Community Center - Gym Assistant,"Sports, Fitness and/or Recreation",,Jose Rodriguez,jose.rodriguez@boston.gov,617-635-5253,61 Woodruff Way,Mattapan
14633,BCYF Gallivan Community Center - Superteens Program - SuperTeens Program Helper,Peer Leadership,,Kate Hennigan,kate.hennigan@boston.gov,617-635-4920,61 Woodruff Way,Mattapan
14634,BCYF Hennigan Community Center - Lifeguard Intern,"Sports, Fitness and/or Recreation",,Antonio Rosario,antonio.rosario@boston.gov,617-635-4920 ext. 2150,200 Heath Street,Jamaica Plain
14635,BCYF Hennigan Community Center - Teen Program - Junior Counselors,Camp Counselor/ Summer Program Staff Support,,Martha Salamanca,martha.salamanca@boston.gov,617-635-5198,200 Heath Street,Jamaica Plain
